HAWAIAN AIRLINES - 1998 DAILY CLOSES                                            

     THE VALUE OF Q IS:   0.10040E+01
     THE VALUE OF R IS:   0.20500E+00
     THE FILTER LENGTH IS:      5
     THE PREDICTION LENGTH IS:      1
     THE BASELINE VALUE IS:   0.00000E+00
     THE TEST FACTOR VALUE IS:   0.10100E+01


      I      TRUE_X        PRED_X        ERROR            Q             R   
    214   0.30000E+01   0.31401E+01  -0.14014E+00   0.13625E-12   0.15106E+13
    215   0.30625E+01   0.30236E+01   0.38948E-01   0.13625E-12   0.15106E+13
    216   0.31250E+01   0.30727E+01   0.52323E-01   0.13625E-12   0.15106E+13
    217   0.31875E+01   0.32277E+01  -0.40226E-01   0.13625E-12   0.15106E+13
    218   0.32500E+01   0.33183E+01  -0.68292E-01   0.13625E-12   0.15106E+13
    219   0.33750E+01   0.33815E+01  -0.65092E-02   0.13625E-12   0.15106E+13
    220   0.35000E+01   0.35166E+01  -0.16643E-01   0.13625E-12   0.15106E+13
    221   0.34375E+01   0.36641E+01  -0.22662E+00   0.13625E-12   0.15106E+13
    222   0.33750E+01   0.36119E+01  -0.23693E+00   0.13625E-12   0.15106E+13
    223   0.33750E+01   0.35129E+01  -0.13795E+00   0.13625E-12   0.15106E+13
    224   0.32500E+01   0.34103E+01  -0.16025E+00   0.13625E-12   0.15106E+13
